,X.当周毛利,Y.次周毛利,Z.季度毛利,M．次周为当周倍数,N．季度为次周倍数,添加时间
btc_usd,0.00556876,0.00783221,0.07547177,1.40645469,9.63607113,2018-01-03 23:47:16
ltc_usd,0.00419093,0.01452318,0.10085632,3.46538462,6.9445061,2018-01-03 23:47:05
etc_usd,-0.00225677,0.0099674,0.11130266,5.41666667,11.16666667,2018-01-03 23:47:05
bch_usd,0.00180769,0.00063346,0.10738346,0.35042553,169.51851852,2018-01-03 23:47:05
eth_usd,-0.00371522,-0.00232187,0.04971612,0.62496186,22.41210937,2018-01-03 23:47:05
btc_usd,0.00556876,0.00783221,0.075556,1.40645469,9.64682472,2018-01-03 23:47:05
ltc_usd,0.00389155,0.01421665,0.10052371,3.65320911,7.0708416,2018-01-03 23:46:55
etc_usd,-0.00188064,0.01003009,0.11130266,6.33333333,11.096875,2018-01-03 23:46:55
bch_usd,0.00180769,0.00063346,0.10738346,0.35042553,169.51851852,2018-01-03 23:46:55
eth_usd,-0.00312187,-0.00172769,0.05034128,0.5534157,30.13788575,2018-01-03 23:46:55
btc_usd,0.00475096,0.00724839,0.07578066,1.52566964,10.45482809,2018-01-03 23:46:55
ltc_usd,0.00123758,0.01489126,0.10125572,12.03257329,6.79967515,2018-01-03 23:46:45
etc_usd,-0.00225677,0.01003009,0.11130266,5.44444444,11.096875,2018-01-03 23:46:45
bch_usd,0.00180769,0.00063346,0.10738346,0.35042553,169.51851852,2018-01-03 23:46:45
eth_usd,-0.00262065,-0.00122577,0.05086939,0.46773495,42.5,2018-01-03 23:46:45
btc_usd,0.00311251,0.00724839,0.07578066,2.32879046,10.45482809,2018-01-03 23:46:45
ltc_usd,0.00079379,0.01444142,0.1007676,18.1928934,6.97767857,2018-01-03 23:46:35
etc_usd,-0.00225677,0.0099674,0.11130266,5.41666667,11.16666667,2018-01-03 23:46:35
bch_usd,-0.00125385,0.00063346,0.10738346,1.50521472,169.51851852,2018-01-03 23:46:35
eth_usd,-0.00277344,-0.00137878,0.0507084,0.49713584,37.77777778,2018-01-03 23:46:35
btc_usd,0.00403193,0.00521175,0.07585838,1.29261877,14.55525881,2018-01-03 23:46:35
ltc_usd,0.00220809,0.01442916,0.1007543,6.53467153,6.9826864,2018-01-03 23:46:32
etc_usd,-0.00178661,0.0099674,0.11130266,6.57894737,11.16666667,2018-01-03 23:46:32
bch_usd,-0.00125385,0.00063346,0.10738346,1.50521472,169.51851852,2018-01-03 23:46:32
eth_usd,-0.00274515,-0.00135045,0.05073821,0.49193882,38.57142857,2018-01-03 23:46:32
btc_usd,0.00367534,0.00531913,0.07488006,1.44724977,14.07750779,2018-01-03 23:46:32
ltc_usd,0.0016955,0.01391031,0.1001913,8.20427553,7.20266358,2018-01-03 23:46:19
etc_usd,-0.00184918,0.00990409,0.111233,6.3559322,11.23101266,2018-01-03 23:46:19
bch_usd,-0.00125385,0.00063346,0.10738346,1.50521472,169.51851852,2018-01-03 23:46:19
eth_usd,-0.00247347,-0.00107838,0.05102446,0.43597981,48.31578947,2018-01-03 23:46:19
btc_usd,0.00155434,0.00309011,0.07378488,1.9880597,23.87773488,2018-01-03 23:46:19
ltc_usd,0.00236965,0.01459269,0.10093174,6.15816327,6.91659762,2018-01-03 23:46:06
etc_usd,-0.0046875,0.0069375,0.10796875,2.48,15.56306306,2018-01-03 23:46:06
bch_usd,0.00405484,0.00469087,0.11187372,1.15685714,23.84926319,2018-01-03 23:46:06
eth_usd,-0.00245999,-0.00101941,0.0510865,0.41439778,51.11358575,2018-01-03 23:46:06
btc_usd,0.00300705,0.00517285,0.07268767,1.7202381,14.05177496,2018-01-03 23:46:06
ltc_usd,0.00340137,0.01460495,0.10094505,4.29383886,6.91169978,2018-01-03 23:45:55
etc_usd,-0.0030625,0.0069375,0.10796875,3.26530612,15.56306306,2018-01-03 23:45:55
bch_usd,0.00583897,0.00842402,0.11130913,1.44272487,13.21330338,2018-01-03 23:45:55
eth_usd,-0.00230709,-0.00086629,0.05124761,0.37549213,60.15727392,2018-01-03 23:45:55
btc_usd,0.00300705,0.0056601,0.07394856,1.88227513,13.06488639,2018-01-03 23:45:55
ltc_usd,0.00348596,0.01459269,0.10093174,4.18612717,6.91659762,2018-01-03 23:45:50
etc_usd,-0.003125,0.0069375,0.10796875,3.22,15.56306306,2018-01-03 23:45:50
