,X.当周毛利,Y.次周毛利,Z.季度毛利,M．次周为当周倍数,N．季度为次周倍数,添加时间
bch_usd,0.03893366619115546,0.06581669044222549,0.09368901569186883,1.6904827333516574,1.4234841506366827,2017-12-09 16:40:30
ltc_usd,0.01506789855521773,0.02513796738389029,0.02427605878340655,1.6683127572016663,0.965712876171679,2017-12-09 16:40:30
eth_usd,0.027805919796964895,0.039783759246458716,0.04839005870276192,1.4307658058771082,1.2163269539961656,2017-12-09 16:40:29
etc_usd,0.054140575529444845,0.08158024343910508,0.08576655174839942,1.5068226120857715,1.0513152220784825,2017-12-09 16:40:29
btc_usd,0.030062651609173985,0.03204464048797795,0.037242576624468615,1.0659286115067486,1.1622092199299523,2017-12-09 16:40:29
bch_usd,0.035977951635846495,0.0627844950213372,0.09020625889046929,1.745082534348123,1.436760124610588,2017-12-09 16:39:29
ltc_usd,0.012404351064680963,0.024039201442967784,0.021527551202575657,1.9379652605459428,0.8955185659410969,2017-12-09 16:39:29
eth_usd,0.030066573773029903,0.04025597357692101,0.04881044537338086,1.3388946103673152,1.2125019229783125,2017-12-09 16:39:29
etc_usd,0.05112676056338028,0.07172535211267617,0.08563380281690147,1.4028925619834733,1.193912616593028,2017-12-09 16:39:29
btc_usd,0.02876217794024405,0.032109693206028966,0.03479263300262336,1.116386014742683,1.0835554478636578,2017-12-09 16:39:29
bch_usd,0.03730960854092524,0.06354092526690391,0.09560854092526694,1.703071346814194,1.504676561187343,2017-12-09 16:38:28
ltc_usd,0.013077914901455046,0.02166758764658927,0.021477251795910757,1.6568075117370995,0.9912156418248769,2017-12-09 16:38:28
eth_usd,0.02824570710250307,0.04017437864191886,0.04499414815992142,1.4223180356620884,1.1199712274572307,2017-12-09 16:38:28
etc_usd,0.054766447600876234,0.07554236449720864,0.09052363790544837,1.3793548387096775,1.1983161833489249,2017-12-09 16:38:28
btc_usd,0.030960655101042844,0.03570739703323755,0.03772390184914465,1.1533152937721536,1.0564730275362852,2017-12-09 16:38:28
bch_usd,0.03683757644716246,0.06263333807424276,0.09799388422699473,1.7002567518001666,1.564564291796761,2017-12-09 16:37:28
ltc_usd,0.01658454661084985,0.024129712641549173,0.028606181849615497,1.454951600893519,1.1855168884339822,2017-12-09 16:37:28
eth_usd,0.028351840268531214,0.040281743058092845,0.04661311731931228,1.4207805446337494,1.1571772664377646,2017-12-09 16:37:28
etc_usd,0.055027389998232756,0.07580844672203568,0.09206573599575885,1.3776493256262077,1.214452214452213,2017-12-09 16:37:28
btc_usd,0.03284139431428912,0.03568522397025631,0.040589027973958025,1.0865928416056883,1.1374183333636647,2017-12-09 16:37:28
bch_usd,0.0399429386590584,0.06376604850213985,0.09962482168330955,1.596428571428576,1.5623489932885892,2017-12-09 16:36:29
ltc_usd,0.02181721349038246,0.02825152652373686,0.031719491200039585,1.2949191030371865,1.122753178430516,2017-12-09 16:36:29
eth_usd,0.030498200024827282,0.04259113667397685,0.048936566392187686,1.3965131266535475,1.1489847469153809,2017-12-09 16:36:29
etc_usd,0.054143841668139236,0.07580844672203568,0.09188902632974005,1.400130548302872,1.21212121212121,2017-12-09 16:36:29
btc_usd,0.03422950427087912,0.037107776084378985,0.04190901719674667,1.0840874524714799,1.1293863879487196,2017-12-09 16:36:28
btc_usd,0.028857768828051134,0.032910643609009194,0.036168624578728714,1.140443109275256,1.09899475101203,2017-12-09 15:25:31
bch_usd,0.041109857565928554,0.0693089832181637,0.10114299816669026,1.685945593633151,1.4593057562007903,2017-12-09 15:25:31
eth_usd,0.047711859937773715,0.05079786953541099,0.06619627696039654,1.0646801361687026,1.303130969188607,2017-12-09 15:25:31
etc_usd,0.053513724654664196,0.06413124533929904,0.08959198892084808,1.1984074319840756,1.39700996677741,2017-12-09 15:25:31
ltc_usd,0.025073865162503317,0.039195541230190756,0.036247649744829635,1.563202999464386,0.9247901319170846,2017-12-09 15:25:31
btc_usd,0.02935223833772671,0.034157557857041665,0.036819102930505165,1.1637122002085487,1.0779196535244928,2017-12-09 15:24:31
bch_usd,0.041109857565928554,0.0693089832181637,0.10114299816669026,1.685945593633151,1.4593057562007903,2017-12-09 15:24:31
eth_usd,0.04862589540980489,0.05106710694278882,0.06341031132304376,1.0502039399461978,1.2417055736892084,2017-12-09 15:24:31
etc_usd,0.05504065906750455,0.0631014523631972,0.08959198892084808,1.1464516129032267,1.419808666291507,2017-12-09 15:24:31
ltc_usd,0.015038098754657225,0.02211406129367921,0.027887617065556647,1.47053571428573,1.2610807528840338,2017-12-09 15:24:31
btc_usd,0.029242598534843012,0.03428684322054143,0.03724264951899636,1.1724964585376407,1.086208178438664,2017-12-09 15:23:31
bch_usd,0.041460301791002685,0.06640530249612175,0.10203074319560002,1.6016598921750347,1.5364848793747892,2017-12-09 15:23:31
eth_usd,0.04918375403478614,0.05785814863213101,0.06533345436812454,1.1763670701347795,1.1292005691976494,2017-12-09 15:23:31
etc_usd,0.055452930728241645,0.0635168738898757,0.09065719360568392,1.145419602818705,1.427293064876958,2017-12-09 15:23:31
ltc_usd,0.020478299619196783,0.03362411213438832,0.03437356523617896,1.6419386745796207,1.0222891566265078,2017-12-09 15:23:31
btc_usd,0.02723478380628963,0.03186764280185317,0.03629838009337116,1.1701081612586042,1.139035614245693,2017-12-09 15:22:31
